Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KEYWORDS FOR MATERIAL TESTING MACHINES,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
18,SUPERFICIAL HARDNESS TESTER,,,,,,57.0,C.I HARDNESS TESTER,,,,,,
19,SUPERFICIAL HARDNESS TESTING MACHINE,,,,,,58.0,S.G. IRON HARDNESS TESTER,,,,,,
20,SUPERFICIAL ROCKWELL HARDNESS TESTER ,,,,,,59.0,PLASTIC HARDNESS TESTER,,,,,,
21,SUPERFICIAL ROCKWELL HARDNESS TESTING MACHINE,,,,,,60.0,RUBBER HARDNESS TESTER,,,,,,
22,COMPUTERISED RHT,,,,,,61.0,HEAT TREATMENT MATERIAL HARDNESS TESTER,,,,,,
23,COMPUTERISED ROCKWELL HARDNESS TESTER,,,,,,62.0,HARDENEND MATERIAL HARDNESS TESTER,,,,,,
,,,,,,,,,,,,,,
,BY SCALES /APPLICATION,,,,,,,,,,,,,
24,RC HARDNESS TESTER,,,,,,,,,,,,,
25,HRC HARDNESS TESTER,,,,,,,BY MODEL,,,,,,
26,RC HARDNESS TESTING MACHINE,,,,,,63.0,MRS,,,,,,
27,HRC HARDNESS TESTING MACHINES,,,,,,64.0,MSM,,,,,,
28,HRBW HARDNESS TESTER,,,,,,65.0,MRB - 250,,,,,,
29,HRBW HARDNESS TESTING MACHINE,,,,,,66.0,MRS - N,,,,,,
30,HRA HARDNESS TESTER,,,,,,67.0,MRB ,,,,,,
31,HRA HARDNESS TESTING MACHINE,,,,,,68.0,TRSD - DN,,,,,,
32,RC ROCKWELL HARDNESS TESTER,,,,,,69.0,TRS-DM,,,,,,
33,HRC ROCKWELL HARDNESS TESTER,,,,,,70.0,TRB - 250 - DN,,,,,,
34,RC ROCKWELL HARDNESS TESTING MACHINE,,,,,,71.0,TSM - DN,,,,,,
35,HRC ROCKWELL HARDNESS TESTING MACHINES,,,,,,72.0,TRS - DO,,,,,,
36,HRBW ROCKWELL HARDNESS TESTER,,,,,,73.0,TRS - DS,,,,,,
37,HRBW ROCKWELL HARDNESS TESTING MACHINE,,,,,,74.0,TSM - DS,,,,,,
38,HRA ROCKWELL HARDNESS TESTER,,,,,,75.0,TRB - 250 - DS,,,,,,
39,HRA ROCKWELL HARDNESS TESTING MACHINE,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,BY BASICS,,,,,,,BY BASICS,,,,,,
1,VICKERS HARDNESS TESTER ,,,,,,1.0,BRINELL  HARDNESS TESTER ,,,,,,BY MODELS
2,VICKERS HARDNESS TESTING MACHINE,,,,,,2.0,BRINELL HARDNESS TESTING MACHINE,,,,,42.0,AKB - 3000 - (M)
3,VHT,,,,,,3.0,BHT,,,,,43.0,AKB - 3000 - N
4,DIGITAL HARDNESS TESTER,,,,,,4.0,DIGITAL HARDNESS TESTER,,,,,44.0,OPAB - 3000
5,DIGITAL HARDNESS TESTING MACHINE,,,,,,5.0,DIGITAL HARDNESS TESTING MACHINE,,,,,45.0,OPAB - 3000 - N
6,DIGITAL VICKERS HARDNESS TESTER,,,,,,6.0,DIGITAL BRINELL HARDNESS TESTER,,,,,46.0,OPAB - 3000 - PC - N
7,DIGITAL VICKERS HARDNESS TESTING MACHINE,,,,,,7.0,DIGITAL BRINELL HARDNESS TESTING MACHINE,,,,,47.0,OPFA - 3000 - IPC - LC - SERVO
8,SCREEN TOUCH HARDNESS TESTING MACHINE,,,,,,8.0,SCREEN TOUCH HARDNESS TESTING MACHINE,,,,,48.0,TEXMACO - 3000 - PC - SERVO
9,SCREEN TOUCH VICKERS HARDNESS TESTING MACHINE,,,,,,9.0,SCREEN TOUCH BRINELL HARDNESS TESTING MACHINE,,,,,49.0,TEXMACO - 3000 
10,SCREEN TOUCH HARDNESS TESTER,,,,,,10.0,SCREEN TOUCH HARDNESS TESTER,,,,,50.0,WOM - 3000
11,SCREEN TOUCH VICKERS HARDNESS TESTER,,,,,,11.0,SCREEN TOUCH BRINELL HARDNESS TESTER,,,,,51.0,B - 187.5 - PC
